year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2018,1,5,ak,US,45938,18249,18606,13490
2018,1,5,al,US,625480,204894,249397,156274
2018,1,5,ar,US,352886,114422,139106,86010
2018,1,5,as,US,60,40,48,34
2018,1,5,az,US,665020,219832,249072,163488
2018,1,5,bc,CA,1,1,1,1
2018,1,5,ca,US,4096377,1305811,1432534,960568
2018,1,5,co,US,572956,190074,203445,134812
2018,1,5,ct,US,264999,104471,115524,77642
2018,1,5,dc,US,185936,70716,41168,27835
2018,1,5,de,US,74592,31894,32523,22668
2018,1,5,fl,US,3057965,958632,1001455,643077
2018,1,5,ga,US,1304058,410495,490028,306318
2018,1,5,gu,US,5119,2090,2556,1589
2018,1,5,hi,US,158720,46606,43758,29686
2018,1,5,ia,US,314080,112133,133090,84529
2018,1,5,id,US,136732,48862,56586,36973
2018,1,5,il,US,1223559,435187,489796,321029
2018,1,5,in,US,621946,221703,260841,167407
2018,1,5,ks,US,359178,122902,147581,91612
2018,1,5,ky,US,417679,150798,173709,112084
2018,1,5,la,US,550994,185212,213066,135797
2018,1,5,ma,US,468492,193916,197037,136608
2018,1,5,md,US,602871,224189,235074,156361
2018,1,5,me,US,75221,31300,36167,24530
2018,1,5,mi,US,882097,326363,386251,255183
2018,1,5,mn,US,500226,169746,196917,125315
2018,1,5,mo,US,684238,231546,272828,171034
2018,1,5,mp,US,527,328,520,327
2018,1,5,ms,US,322040,109315,128045,80695
2018,1,5,mt,US,79023,27721,31164,20606
2018,1,5,nc,US,1043820,379753,448997,292894
2018,1,5,nd,US,73999,26476,29196,18810
2018,1,5,ne,US,215978,76443,90835,57785
2018,1,5,nh,US,105921,40231,45222,29331
2018,1,5,nj,US,832365,321501,359416,238028
2018,1,5,nm,US,147899,56326,58835,39469
2018,1,5,nv,US,394922,120757,116262,80290
2018,1,5,ny,US,1637042,651329,652817,455301
2018,1,5,oh,US,1064779,389834,459229,301477
2018,1,5,ok,US,536399,178286,208949,130599
2018,1,5,or,US,359986,124248,136763,92510
2018,1,5,pa,US,1005620,397435,433777,294118
2018,1,5,pr,US,84689,34415,37702,24603
2018,1,5,ri,US,72378,31562,32016,22328
2018,1,5,sc,US,486526,175986,209724,134098
2018,1,5,sd,US,73273,25616,29642,18763
2018,1,5,tn,US,737601,248804,288086,183375
2018,1,5,tx,US,3632075,1135469,1337590,848515
2018,1,5,ut,US,303168,95438,116303,71340
2018,1,5,va,US,734850,284477,309533,209173
2018,1,5,vi,US,464,266,0,0
2018,1,5,vt,US,35426,15357,16097,11065
2018,1,5,wa,US,676084,237361,256561,174158
2018,1,5,wi,US,521717,192379,223071,145158
2018,1,5,wv,US,132875,57483,61943,42861
2018,1,5,wy,US,44130,16290,17216,11292
2018,1,6,ALL,"",32045885,11193702,12890563,8416586
2018,1,6,ALL_CA,CA,3,1,3,1
2018,1,6,ALL_US,US,32045882,11193701,12890560,8416585
2018,1,6,ak,US,40051,17018,17525,12631
2018,1,6,al,US,565810,208008,248390,162524
2018,1,6,ar,US,302940,113684,135244,86990
2018,1,6,as,US,40,28,34,27
2018,1,6,az,US,635513,216476,249205,161121
2018,1,6,ca,US,3917465,1279993,1427692,931929
2018,1,6,co,US,542825,186941,202839,132500
2018,1,6,ct,US,283115,105957,121176,78013
2018,1,6,dc,US,148390,59146,38246,25371
2018,1,6,de,US,78446,32601,33447,22761
2018,1,6,fl,US,2949474,958846,1007764,648537
2018,1,6,ga,US,1222567,405735,479556,304538
2018,1,6,gu,US,4709,1985,2565,1521
2018,1,6,hi,US,150596,45779,43370,28655
2018,1,6,ia,US,285344,111830,128429,84433
2018,1,6,id,US,123567,48065,55774,36481
2018,1,6,il,US,1195799,432639,493867,320698
2018,1,6,in,US,593637,220816,257062,167219
2018,1,6,ks,US,317108,118614,141371,89937
2018,1,6,ky,US,383758,150268,171510,113526
2018,1,6,la,US,509502,182479,207974,133335
2018,1,6,ma,US,490896,195337,206377,137419
2018,1,6,md,US,594870,223222,232649,154914
2018,1,6,me,US,74583,32565,37419,25807
2018,1,6,mi,US,857621,325925,389494,256492
2018,1,6,mn,US,457829,164517,186388,121711
2018,1,6,mo,US,636561,228460,263523,168867
2018,1,6,mp,US,516,301,509,299
2018,1,6,ms,US,288247,107643,123508,79370
2018,1,6,mt,US,67162,26661,29143,19788
2018,1,6,nc,US,1013675,380272,446549,292809
2018,1,6,nd,US,62484,25549,26799,18259
2018,1,6,ne,US,198284,73874,86349,55647
2018,1,6,nh,US,106207,41203,45151,29220
2018,1,6,nj,US,873653,326172,371108,238629
2018,1,6,nm,US,132756,55054,57673,39069
2018,1,6,nv,US,388697,119471,117333,79034
2018,1,6,ny,US,1616701,649205,665814,456305
2018,1,6,oh,US,1059233,393515,468732,306336
2018,1,6,ok,US,472421,174883,201507,130814
2018,1,6,or,US,327045,121164,133254,89518
2018,1,6,pa,US,1020453,399884,440994,294719
2018,1,6,pr,US,55684,30861,34036,23837
2018,1,6,qc,CA,3,1,3,1
2018,1,6,ri,US,78615,33104,34537,23154
2018,1,6,sc,US,465872,176057,207007,134225
2018,1,6,sd,US,65715,24911,28021,18116
2018,1,6,tn,US,681542,246734,284355,183321
2018,1,6,tx,US,3401167,1119078,1321518,836503
2018,1,6,ut,US,273894,93352,114231,70689
2018,1,6,va,US,752727,286615,316419,210599
2018,1,6,vi,US,434,269,0,0
2018,1,6,vt,US,34176,15258,16122,11085
2018,1,6,wa,US,601252,226968,246026,166978
2018,1,6,wi,US,477822,191962,216848,146087
2018,1,6,wv,US,128260,57445,61737,43166
2018,1,6,wy,US,38172,15920,16390,11052
2018,1,7,ALL,"",28887438,11392598,13499954,8964730
2018,1,7,ALL_CA,CA,2,2,2,2
2018,1,7,ALL_US,US,28887436,11392596,13499952,8964728
2018,1,7,ak,US,35371,16410,17368,12537
2018,1,7,al,US,541326,218601,278829,178408
2018,1,7,ar,US,277290,119695,149207,96762
2018,1,7,as,US,44,28,36,25
2018,1,7,az,US,568498,219198,254155,169932
2018,1,7,bc,CA,1,1,1,1
2018,1,7,ca,US,3545586,1254139,1417292,941589
2018,1,7,co,US,484360,186439,206202,138396
2018,1,7,ct,US,244019,103844,120258,79427
2018,1,7,dc,US,132965,55995,37932,25166
2018,1,7,de,US,68945,31664,34003,23371
2018,1,7,fl,US,2726912,1006985,1091770,722745
2018,1,7,ga,US,1121469,414480,510541,325265
2018,1,7,gu,US,4592,2081,2632,1601
2018,1,7,hi,US,134872,45178,42294,28912
2018,1,7,ia,US,253892,115533,138098,92824
2018,1,7,id,US,104004,47318,56364,37750
2018,1,7,il,US,1045438,439868,512886,342615
2018,1,7,in,US,545084,234989,283447,188591
2018,1,7,ks,US,280510,120224,146258,96746
2018,1,7,ky,US,358389,157553,188762,125373
2018,1,7,la,US,455908,192226,225589,149613
2018,1,7,ma,US,442049,191945,206759,139422
2018,1,7,md,US,527300,218438,238494,158907
2018,1,7,me,US,68740,32867,38889,26935
2018,1,7,mi,US,783892,341815,423265,283129
2018,1,7,mn,US,421079,173437,206924,137326
2018,1,7,mo,US,502791,228992,270310,183342
2018,1,7,mp,US,521,305,518,303
2018,1,7,ms,US,262600,109999,134807,86360
2018,1,7,mt,US,59589,27274,30948,21535
2018,1,7,nc,US,901761,380933,462250,306416
2018,1,7,nd,US,58625,27320,30994,21273
2018,1,7,ne,US,183709,77225,93922,61853
2018,1,7,nh,US,93263,40290,45864,30312
2018,1,7,nj,US,766553,317153,370987,241102
2018,1,7,nm,US,117509,54300,58057,40588
2018,1,7,nv,US,335556,116291,115661,79769
2018,1,7,ny,US,1476367,632269,675537,459400
2018,1,7,oh,US,973632,412876,508878,336666
2018,1,7,ok,US,420736,182604,217548,145378
2018,1,7,or,US,280456,115287,127981,88095
2018,1,7,pa,US,926109,399327,454921,306790
2018,1,7,pr,US,73385,34017,39078,25834
2018,1,7,qc,CA,1,1,1,1
2018,1,7,ri,US,69656,32525,34669,23647
2018,1,7,sc,US,421890,178082,217584,142315
2018,1,7,sd,US,60604,26662,31610,20991
2018,1,7,tn,US,623759,252499,306210,199141
2018,1,7,tx,US,3053671,1175744,1420432,927018
2018,1,7,ut,US,212267,91116,112749,71868
2018,1,7,va,US,693139,287977,329564,219766
2018,1,7,vi,US,331,215,0,0
2018,1,7,vt,US,32102,15213,16389,11449
2018,1,7,wa,US,521205,221540,242216,169547
2018,1,7,wi,US,438040,200051,237688,161789
2018,1,7,wv,US,121995,59742,67512,47060
2018,1,7,wy,US,33081,15928,16814,11754
2018,1,8,ALL,"",32136651,10738940,12716802,8041196
2018,1,8,ALL_CA,CA,3,3,3,3
2018,1,8,ALL_US,US,32136648,10738937,12716799,8041193
2018,1,8,ak,US,41680,15053,15950,11042
2018,1,8,al,US,596834,211306,262703,162752
2018,1,8,ar,US,340479,114136,141941,86576
2018,1,8,as,US,56,35,46,30
2018,1,8,az,US,631199,201978,237094,150637
2018,1,8,bc,CA,2,2,2,2
2018,1,8,ca,US,3637455,1134411,1270837,829873
2018,1,8,co,US,523092,170772,189811,122843
2018,1,8,ct,US,276877,99134,117101,71716
2018,1,8,dc,US,192390,71280,40741,26249
2018,1,8,de,US,78398,30657,33816,21268
2018,1,8,fl,US,3169641,1002903,1106602,685472
2018,1,8,ga,US,1151038,391773,453578,290352
2018,1,8,gu,US,4780,2025,2496,1598
2018,1,8,hi,US,137932,38708,37033,24780
2018,1,8,ia,US,301112,106749,130354,80455
2018,1,8,id,US,126759,44495,53253,33924
2018,1,8,il,US,1166200,402239,473898,298070
2018,1,8,in,US,598803,215569,263310,164402
2018,1,8,ks,US,339796,119599,148264,90449
2018,1,8,ky,US,365873,144299,165316,108317
2018,1,8,la,US,519064,180180,213833,133822
2018,1,8,ma,US,520214,186056,199385,125003
2018,1,8,md,US,546615,209050,230368,144843
2018,1,8,me,US,78645,30946,36655,23756
2018,1,8,mi,US,909104,322368,404307,251319
2018,1,8,mn,US,489293,166733,200852,125016
2018,1,8,mo,US,624267,218828,262341,163389
2018,1,8,mp,US,484,321,476,320
2018,1,8,ms,US,299587,103481,123278,76137
2018,1,8,mt,US,72319,25863,29654,19467
2018,1,8,nc,US,1048647,371069,451298,280383
2018,1,8,nd,US,73291,26608,30630,19210
2018,1,8,ne,US,213292,74024,90554,56041
2018,1,8,nh,US,104474,38054,45347,27664
2018,1,8,nj,US,852602,301161,361745,218176
2018,1,8,nm,US,129166,47865,52376,34324
2018,1,8,nv,US,336807,101746,103013,68123
2018,1,8,ny,US,1726546,602739,645891,409659
2018,1,8,oh,US,934143,376319,442270,296033
2018,1,8,ok,US,518549,176615,213300,132608
2018,1,8,or,US,313141,102577,114021,74985
2018,1,8,pa,US,971007,377958,433918,276530
2018,1,8,pr,US,79715,33258,38340,23860
2018,1,8,qc,CA,1,1,1,1
2018,1,8,ri,US,81399,30590,33474,20811
2018,1,8,sc,US,489276,171022,209632,129305
2018,1,8,sd,US,73782,25649,30837,19206
2018,1,8,tn,US,656554,236661,278489,177739
2018,1,8,tx,US,3491845,1099865,1332087,827542
2018,1,8,ut,US,276357,86973,107885,65300
2018,1,8,va,US,727421,276729,312379,201343
2018,1,8,vi,US,347,229,0,0
2018,1,8,vt,US,37429,14370,15919,10209
2018,1,8,wa,US,604401,209166,225873,151546
2018,1,8,wi,US,496507,186423,225588,144197
